Category1,Category2,ProcCd,Category2Rank
NIPS,ADMINISTERED_DRUGS,B4164,14.00
NIPS,ADMINISTERED_DRUGS,B4165,14.00
NIPS,ADMINISTERED_DRUGS,B4166,14.00
NIPS,ADMINISTERED_DRUGS,B4167,14.00
NIPS,ADMINISTERED_DRUGS,B4168,14.00
NIPS,ADMINISTERED_DRUGS,B4169,14.00
NIPS,ADMINISTERED_DRUGS,B4170,14.00
NIPS,ADMINISTERED_DRUGS,B4171,14.00
NIPS,ADMINISTERED_DRUGS,B4172,14.00
NIPS,ADMINISTERED_DRUGS,B4173,14.00
NIPS,ADMINISTERED_DRUGS,B4174,14.00
NIPS,ADMINISTERED_DRUGS,B4175,14.00
NIPS,ADMINISTERED_DRUGS,B4176,14.00
NIPS,ADMINISTERED_DRUGS,B4177,14.00
NIPS,ADMINISTERED_DRUGS,B4178,14.00
NIPS,ADMINISTERED_DRUGS,B4179,14.00
NIPS,ADMINISTERED_DRUGS,B4180,14.00
NIPS,ADMINISTERED_DRUGS,B4181,14.00
NIPS,ADMINISTERED_DRUGS,B4182,14.00
NIPS,ADMINISTERED_DRUGS,B4183,14.00
NIPS,ADMINISTERED_DRUGS,B4184,14.00
NIPS,ADMINISTERED_DRUGS,B4185,14.00
NIPS,ADMINISTERED_DRUGS,B4186,14.00
NIPS,ADMINISTERED_DRUGS,B4187,14.00
NIPS,ADMINISTERED_DRUGS,B4188,14.00
NIPS,ADMINISTERED_DRUGS,B4189,14.00
NIPS,ADMINISTERED_DRUGS,B4190,14.00
NIPS,ADMINISTERED_DRUGS,B4191,14.00
NIPS,ADMINISTERED_DRUGS,B4192,14.00
NIPS,ADMINISTERED_DRUGS,B4193,14.00
NIPS,ADMINISTERED_DRUGS,B4194,14.00
NIPS,ADMINISTERED_DRUGS,B4195,14.00
NIPS,ADMINISTERED_DRUGS,B4196,14.00
NIPS,ADMINISTERED_DRUGS,B4197,14.00
NIPS,ADMINISTERED_DRUGS,B4198,14.00
NIPS,ADMINISTERED_DRUGS,B4199,14.00
NIPS,ADMINISTERED_DRUGS,B4200,14.00
NIPS,ADMINISTERED_DRUGS,B4201,14.00
NIPS,ADMINISTERED_DRUGS,B4202,14.00
NIPS,ADMINISTERED_DRUGS,B4203,14.00
NIPS,ADMINISTERED_DRUGS,B4204,14.00
NIPS,ADMINISTERED_DRUGS,B4205,14.00
NIPS,ADMINISTERED_DRUGS,B4206,14.00
NIPS,ADMINISTERED_DRUGS,B4207,14.00
NIPS,ADMINISTERED_DRUGS,B4208,14.00
NIPS,ADMINISTERED_DRUGS,B4209,14.00
NIPS,ADMINISTERED_DRUGS,B4210,14.00
NIPS,ADMINISTERED_DRUGS,B4211,14.00
NIPS,ADMINISTERED_DRUGS,B4212,14.00
NIPS,ADMINISTERED_DRUGS,B4213,14.00
NIPS,ADMINISTERED_DRUGS,B4214,14.00
NIPS,ADMINISTERED_DRUGS,B4215,14.00
NIPS,ADMINISTERED_DRUGS,B4216,14.00
NIPS,ADMINISTERED_DRUGS,B4217,14.00
NIPS,ADMINISTERED_DRUGS,B4218,14.00
NIPS,ADMINISTERED_DRUGS,B4219,14.00
NIPS,ADMINISTERED_DRUGS,B4220,14.00
NIPS,ADMINISTERED_DRUGS,B4221,14.00
NIPS,ADMINISTERED_DRUGS,B4222,14.00
NIPS,ADMINISTERED_DRUGS,B4223,14.00
NIPS,ADMINISTERED_DRUGS,B4224,14.00
NIPS,ADMINISTERED_DRUGS,B4225,14.00
NIPS,ADMINISTERED_DRUGS,B4226,14.00
NIPS,ADMINISTERED_DRUGS,B4227,14.00
NIPS,ADMINISTERED_DRUGS,B4228,14.00
NIPS,ADMINISTERED_DRUGS,B4229,14.00
NIPS,ADMINISTERED_DRUGS,B4230,14.00
NIPS,ADMINISTERED_DRUGS,B4231,14.00
NIPS,ADMINISTERED_DRUGS,B4232,14.00
NIPS,ADMINISTERED_DRUGS,B4233,14.00
NIPS,ADMINISTERED_DRUGS,B4234,14.00
NIPS,ADMINISTERED_DRUGS,B4235,14.00
NIPS,ADMINISTERED_DRUGS,B4236,14.00
NIPS,ADMINISTERED_DRUGS,B4237,14.00
NIPS,ADMINISTERED_DRUGS,B4238,14.00
NIPS,ADMINISTERED_DRUGS,B4239,14.00
NIPS,ADMINISTERED_DRUGS,B4240,14.00
NIPS,ADMINISTERED_DRUGS,B4241,14.00
NIPS,ADMINISTERED_DRUGS,B4242,14.00
NIPS,ADMINISTERED_DRUGS,B4243,14.00
NIPS,ADMINISTERED_DRUGS,B4244,14.00
NIPS,ADMINISTERED_DRUGS,B4245,14.00
NIPS,ADMINISTERED_DRUGS,B4246,14.00
NIPS,ADMINISTERED_DRUGS,B4247,14.00
NIPS,ADMINISTERED_DRUGS,B4248,14.00
NIPS,ADMINISTERED_DRUGS,B4249,14.00
NIPS,ADMINISTERED_DRUGS,B4250,14.00
NIPS,ADMINISTERED_DRUGS,B4251,14.00
NIPS,ADMINISTERED_DRUGS,B4252,14.00
NIPS,ADMINISTERED_DRUGS,B4253,14.00
NIPS,ADMINISTERED_DRUGS,B4254,14.00
NIPS,ADMINISTERED_DRUGS,B4255,14.00
NIPS,ADMINISTERED_DRUGS,B4256,14.00
NIPS,ADMINISTERED_DRUGS,B4257,14.00
NIPS,ADMINISTERED_DRUGS,B4258,14.00
NIPS,ADMINISTERED_DRUGS,B4259,14.00
NIPS,ADMINISTERED_DRUGS,B4260,14.00
NIPS,ADMINISTERED_DRUGS,B4261,14.00
NIPS,ADMINISTERED_DRUGS,B4262,14.00
NIPS,ADMINISTERED_DRUGS,B4263,14.00
NIPS,ADMINISTERED_DRUGS,B4264,14.00
NIPS,ADMINISTERED_DRUGS,B4265,14.00
NIPS,ADMINISTERED_DRUGS,B4266,14.00
NIPS,ADMINISTERED_DRUGS,B4267,14.00
NIPS,ADMINISTERED_DRUGS,B4268,14.00
NIPS,ADMINISTERED_DRUGS,B4269,14.00
NIPS,ADMINISTERED_DRUGS,B4270,14.00
NIPS,ADMINISTERED_DRUGS,B4271,14.00
NIPS,ADMINISTERED_DRUGS,B4272,14.00
NIPS,ADMINISTERED_DRUGS,B4273,14.00
NIPS,ADMINISTERED_DRUGS,B4274,14.00
NIPS,ADMINISTERED_DRUGS,B4275,14.00
NIPS,ADMINISTERED_DRUGS,B4276,14.00
NIPS,ADMINISTERED_DRUGS,B4277,14.00
NIPS,ADMINISTERED_DRUGS,B4278,14.00
NIPS,ADMINISTERED_DRUGS,B4279,14.00
NIPS,ADMINISTERED_DRUGS,B4280,14.00
NIPS,ADMINISTERED_DRUGS,B4281,14.00
NIPS,ADMINISTERED_DRUGS,B4282,14.00
NIPS,ADMINISTERED_DRUGS,B4283,14.00
NIPS,ADMINISTERED_DRUGS,B4284,14.00
NIPS,ADMINISTERED_DRUGS,B4285,14.00
NIPS,ADMINISTERED_DRUGS,B4286,14.00
NIPS,ADMINISTERED_DRUGS,B4287,14.00
NIPS,ADMINISTERED_DRUGS,B4288,14.00
NIPS,ADMINISTERED_DRUGS,B4289,14.00
NIPS,ADMINISTERED_DRUGS,B4290,14.00
NIPS,ADMINISTERED_DRUGS,B4291,14.00
NIPS,ADMINISTERED_DRUGS,B4292,14.00
NIPS,ADMINISTERED_DRUGS,B4293,14.00
NIPS,ADMINISTERED_DRUGS,B4294,14.00
NIPS,ADMINISTERED_DRUGS,B4295,14.00
NIPS,ADMINISTERED_DRUGS,B4296,14.00
NIPS,ADMINISTERED_DRUGS,B4297,14.00
NIPS,ADMINISTERED_DRUGS,B4298,14.00
NIPS,ADMINISTERED_DRUGS,B4299,14.00
NIPS,ADMINISTERED_DRUGS,B4300,14.00
NIPS,ADMINISTERED_DRUGS,B4301,14.00
NIPS,ADMINISTERED_DRUGS,B4302,14.00
NIPS,ADMINISTERED_DRUGS,B4303,14.00
NIPS,ADMINISTERED_DRUGS,B4304,14.00
NIPS,ADMINISTERED_DRUGS,B4305,14.00
NIPS,ADMINISTERED_DRUGS,B4306,14.00
NIPS,ADMINISTERED_DRUGS,B4307,14.00
NIPS,ADMINISTERED_DRUGS,B4308,14.00
NIPS,ADMINISTERED_DRUGS,B4309,14.00
NIPS,ADMINISTERED_DRUGS,B4310,14.00
NIPS,ADMINISTERED_DRUGS,B4311,14.00
NIPS,ADMINISTERED_DRUGS,B4312,14.00
NIPS,ADMINISTERED_DRUGS,B4313,14.00
NIPS,ADMINISTERED_DRUGS,B4314,14.00
NIPS,ADMINISTERED_DRUGS,B4315,14.00
NIPS,ADMINISTERED_DRUGS,B4316,14.00
