RevenueHCPCSCd,Category1,Category2,Category3,Category2Rank,Category3Rank
99201,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99202,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99203,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99204,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99205,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99206,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99207,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99208,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99209,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99210,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99211,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99212,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99213,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99214,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99215,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99341,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99342,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99343,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99344,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99345,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99346,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99347,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99348,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99349,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99350,OUTPATIENT,OUTPATIENT,OUTPATIENT_OP,3.00,3.00
99500,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99501,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99502,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99503,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99504,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99505,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99506,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99507,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99508,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99509,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99510,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99511,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99512,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99513,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99514,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99515,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99516,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99517,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99518,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99519,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99520,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99521,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99522,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99523,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99524,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99525,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99526,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99527,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99528,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99529,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99530,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99531,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99532,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99533,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99534,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99535,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99536,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99537,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99538,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99539,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99540,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99541,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
